day,current_u,current_v,lat,lon
7,-0.008247606514320866,0.14084339280965963,-62.208336,68.70834
0,-0.011474413239037059,-0.09808771032264986,-62.208336,71.29167
1,0.08598198127169741,0.05688386650665502,-62.208336,71.29167
2,0.09033009941555074,0.09652929957287791,-62.208336,71.29167
3,0.1404006095208764,0.11253774556568485,-62.208336,71.29167
4,0.08266967373963657,-0.057950286010069796,-62.208336,71.29167
5,0.1727906234327358,0.05927869377526659,-62.208336,71.29167
6,0.007506112701665012,0.009820927516479824,-62.208336,71.29167
7,-0.03999131306003069,0.12058539255297433,-62.208336,71.29167
0,0.006944444444444448,-0.029811758463982308,-62.208336,73.95834
1,0.11152857734405429,0.036176120380353664,-62.208336,73.95834
2,0.13090303196532868,0.12514724699677868,-62.208336,73.95834
3,0.16252678295082598,0.11016261673564731,-62.208336,73.95834
4,0.09186555662181028,-0.050110390252032434,-62.208336,73.95834
5,0.18712662107813363,0.041646747075314815,-62.208336,73.95834
6,0.03009259259259259,0.014731391274719738,-62.208336,73.95834
7,-0.016825951611145473,0.13756254604326018,-62.208336,73.95834
0,0.018228158993138104,-0.00927484224524838,-62.208336,76.70836
1,0.11092396558500785,-0.006276720077711718,-62.208336,76.70836
2,0.14652912872920712,0.14018785074806941,-62.208336,76.70836
3,0.14549988289749044,0.07545173071578797,-62.208336,76.70836
4,0.07434535397202476,-0.052637905003420256,-62.208336,76.70836
5,0.16319927037646845,0.007772898389464482,-62.208336,76.70836
6,0.04608811398584186,-0.010509039345822842,-62.208336,76.70836
7,-0.03210429856132116,0.12330904820015165,-62.208336,76.70836
0,-0.009820927516479828,0.02602463122018353,-62.208336,79.29167
1,0.07563275290977182,-0.01608212601972339,-62.208336,79.29167
2,0.12674716997825422,0.16611774622725065,-62.208336,79.29167
3,0.13020855883636456,0.08813198824407763,-62.208336,79.29167
4,0.05923776797104189,-0.0222642632095788,-62.208336,79.29167
5,0.13243357352364285,0.007142279280293867,-62.208336,79.29167
6,0.03066984383580228,-0.008407231476658275,-62.208336,79.29167
7,-0.06130556467021003,0.105322855667239,-62.208336,79.29167
0,-0.0018209737405542874,0.061547869982059016,-62.208336,81.95836
1,0.045070525032462144,-0.006940748811370114,-62.208336,81.95836
2,0.1030432518753126,0.18518698989077687,-62.208336,81.95836
3,0.10297457586794055,0.10396543603081354,-62.208336,81.95836
4,0.05902569391527183,0.02573313473337802,-62.208336,81.95836
5,0.11407587017002634,-0.005167100730019427,-62.208336,81.95836
6,0.04049077135228211,0.006324159798061466,-62.208336,81.95836
7,-0.06330984736856231,0.0898509328478108,-62.208336,81.95836
0,0.017521310973227327,0.07132731165236125,-62.208336,84.70836
1,0.05481356940347428,-0.0017297811639912103,-62.208336,84.70836
2,0.0924441359466399,0.17221385218573496,-62.208336,84.70836
3,0.10640593964700505,0.1086875361641562,-62.208336,84.70836
4,0.062444925617925494,0.07248312986266515,-62.208336,84.70836
5,0.08759443645646568,-0.021787543567122022,-62.208336,84.70836
6,0.06793269774966351,0.025850072166929496,-62.208336,84.70836
7,-0.02305404156521641,0.06876838585672866,-62.208336,84.70836
0,0.013317695234898189,0.07233651050246896,-62.208336,87.29167
1,0.03225270224794707,-0.05133648070485875,-62.208336,87.29167
2,0.050235455798170466,0.13356367617607276,-62.208336,87.29167
3,0.07438789121664416,0.09500871402403686,-62.208336,87.29167
4,0.03628580168587021,0.09935845396460402,-62.208336,87.29167
5,0.05131023905841086,-0.03414685654719239,-62.208336,87.29167
6,0.041747827258290925,0.028150530848805633,-62.208336,87.29167
7,-0.03543989052973706,0.018087741928832952,-62.208336,87.29167
0,0.06968520744471603,0.09782527917145978,-62.208336,89.95836
1,0.06977282200845132,-0.018601928687467673,-62.208336,89.95836
2,0.040640753182729604,0.1455876542524456,-62.208336,89.95836
3,0.0674218947148552,0.10009011164966103,-62.208336,89.95836
4,0.052625400196443406,0.10914288913592668,-62.208336,89.95836
5,0.03640585321729783,-0.072483518472736,-62.208336,89.95836
6,0.0672500580952385,0.027631548349645114,-62.208336,89.95836
7,-0.0250173054076175,0.01230913646830896,-62.208336,89.95836
0,0.17566247205670063,-0.20048761896159986,-59.958336,65.95834
1,0.2832021529103047,0.08988099013235211,-59.958336,65.95834
2,0.30997951877538404,0.1547601728541867,-59.958336,65.95834
3,0.4132300636548402,0.14721526043715402,-59.958336,65.95834
4,0.37566993540175325,-0.092492575020664,-59.958336,65.95834
5,0.3903167537639341,0.06012548439137141,-59.958336,65.95834
6,0.3369435766577295,0.04305588184880075,-59.958336,65.95834
7,0.1532445769100629,0.16823826375506165,-59.958336,65.95834
0,0.11503410028008014,-0.23345061752417226,-59.958336,68.70834
1,0.2285599798459591,0.028618424095660327,-59.958336,68.70834
2,0.23859830907218713,0.09338424094938856,-59.958336,68.70834
3,0.3968317358070945,0.12329205082831712,-59.958336,68.70834
4,0.2866725875808,-0.1573399336674455,-59.958336,68.70834
5,0.3444749959230891,-0.009973419809314921,-59.958336,68.70834
6,0.29663149793751004,0.029764557105665418,-59.958336,68.70834
7,0.09181612473611979,0.175946939662277,-59.958336,68.70834
0,0.11940964528293746,-0.027470574705287087,-59.958336,71.29167
1,0.22024763834717664,0.13776756448265945,-59.958336,71.29167
2,0.22852812595144611,0.19299635248465527,-59.958336,71.29167
3,0.38609861251190297,0.22963671786976134,-59.958336,71.29167
4,0.28344805229262354,-0.012570689824625335,-59.958336,71.29167
5,0.3433471443116625,0.13685289906900872,-59.958336,71.29167
